iter	Passed	Remaining
0	66	6599
1	71	3496
2	75	2452
3	80	1922
4	83	1590
5	87	1370
6	91	1217
7	95	1098
8	99	1003
9	103	927
10	106	864
11	110	809
12	114	764
13	117	724
14	121	688
15	125	657
16	128	629
17	132	604
18	136	581
19	140	561
20	144	544
21	148	526
22	152	511
23	156	495
24	160	481
25	164	467
26	167	453
27	171	441
28	175	429
29	179	418
30	183	408
31	187	397
32	190	387
33	194	377
34	199	369
35	203	361
36	207	352
37	210	344
38	214	335
39	218	327
40	221	319
41	225	311
42	229	303
43	232	296
44	236	288
45	240	281
46	244	275
47	248	269
48	254	264
49	258	258
50	262	251
51	266	245
52	270	239
53	274	233
54	278	228
55	282	222
56	286	216
57	290	210
58	294	204
59	297	198
60	301	192
61	304	186
62	308	181
63	312	175
64	315	170
65	319	164
66	324	159
67	327	154
68	331	148
69	335	143
70	338	138
71	342	133
72	345	127
73	349	122
74	353	117
75	356	112
76	360	107
77	364	102
78	367	97
79	371	92
80	375	88
81	378	83
82	382	78
83	386	73
84	389	68
85	393	64
86	397	59
87	400	54
88	404	50
89	408	45
90	412	40
91	415	36
92	419	31
93	422	26
94	426	22
95	430	17
96	433	13
97	437	8
98	441	4
99	444	0
