USER_ID,Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter,Churned
0003c291-4e31-4439-81ac-14d5fc498e79,57.0,Male,France,Nice,6.7,11.0,14.5,5.0,71.4,1.0,15.6,165.56,37.0,92.16,0.8,0.0,5.0,2.0,0.0,18.6,5.0,1666.6,1896.0,Q4,1
00185265-8280-4db0-86e5-8ba73ab9e54b,38.0,Male,India,Delhi,0.6,4.0,23.0,9.8,51.9,5.0,9.0,81.4,4.0,34.6,2.8,28.2,9.0,2.0,24.0,5.9,2.0,642.06,1896.0,Q2,0
001c7a7a-efa4-4ea1-ab3e-adda66ed09d6,18.0,Male,India,Chennai,1.9,9.0,20.9,8.4,50.9,0.0,8.0,110.8,14.0,12.3,3.3,11.6,11.0,2.0,14.1,18.6,2.0,1051.57,2639.0,Q1,1
0024ebbc-84f5-410e-9326-593abb84fa59,38.0,Female,Australia,Adelaide,2.5,6.0,26.8,5.7,72.1,3.0,6.0,128.06,14.0,7.0,6.0,2.7,8.0,0.0,27.6,17.8,2.0,654.25,1896.0,Q3,1
00321480-8a1f-406c-b0e1-d70a5876c28d,44.0,Female,Germany,Munich,1.3,30.0,48.2,16.3,39.2,7.0,21.0,170.2,21.0,43.2,4.3,38.3,4.0,10.0,64.0,18.6,5.0,2870.86,2679.0,Q2,0
00387ff9-ab8c-449f-9fd8-f4284e93509d,44.0,Male,Japan,Yokohama,1.9,12.0,12.5,6.2,93.0,5.0,9.1,107.45,1.0,72.24,5.2,0.0,10.0,2.0,0.0,15.9,2.0,847.38,1468.0,Q4,1
003faafa-10a3-4109-b9a8-6d1fabd413fa,55.0,Male,USA,Phoenix,1.4,1.0,17.7,6.4,75.4,1.0,9.0,75.27,21.0,5.4,0.6,13.1,5.0,0.0,51.7,13.0,2.0,622.88,1738.0,Q1,0
0049f50b-deff-400f-925d-642bb2a5f7bb,54.0,Female,Japan,Yokohama,2.4,10.0,26.8,5.6,72.7,2.0,7.0,93.69,10.0,7.1,19.5,7.8,7.0,1.0,12.8,20.3,1.0,569.92,851.0,Q1,1
005725be-0b08-4e63-906e-1f492cd524db,46.0,Male,France,Toulouse,4.2,2.0,12.7,5.5,74.6,0.0,3.0,90.58,4.0,40.2,14.0,2.3,7.0,0.0,11.4,13.0,4.0,318.1,98.0,Q1,1
006a5f29-d077-46cd-821b-5394d3799b38,27.0,Male,UK,Glasgow,3.1,19.0,34.2,8.9,62.4,6.0,14.0,123.43,13.0,33.8,5.7,25.8,6.0,2.0,27.6,26.6,1.0,1798.28,3089.0,Q3,0
006e41d5-5bcb-45ae-89f5-54084d82f733,53.0,Male,Canada,Vancouver,1.2,21.0,39.6,11.0,41.7,7.0,14.0,90.45,127.0,35.3,7.2,24.9,6.0,5.0,54.0,36.0,4.0,1321.21,2028.0,Q2,0
006ee349-6ef8-49b2-a952-793f88fd7e7e,55.0,Male,USA,Houston,1.4,0.0,14.0,3.3,77.8,0.0,9.1,75.15,110.0,40.2,14.0,10.5,6.0,1.0,10.5,16.2,2.0,520.03,649.0,Q4,1
0084c9e6-48a0-4154-83eb-700f99201c10,20.0,Female,Germany,Hamburg,1.6,13.0,15.8,4.6,49.5,4.0,7.0,128.59,68.0,44.0,5.5,14.8,8.0,1.0,16.7,15.3,3.0,1009.78,945.0,Q2,0
008707e6-2a3c-462f-abd1-d2cb496e7524,40.0,Male,Japan,Kyoto,3.6,7.0,31.4,9.9,53.1,14.0,14.0,132.83,17.0,37.2,10.0,29.5,5.0,3.0,38.4,29.1,2.0,1520.63,2698.0,Q1,0
009be901-ba0b-4860-927c-a0081ae754ce,46.0,Female,France,Lyon,1.1,6.0,35.1,10.8,41.8,4.0,11.0,49.26,3.0,40.2,5.4,27.0,6.0,2.0,27.6,20.6,1.0,591.37,2816.0,Q2,0
009e982d-3611-4823-a8cc-29996a456693,48.0,Female,Canada,Toronto,5.9,15.0,32.0,14.4,41.4,9.0,14.0,78.02,13.0,19.2,8.6,32.7,6.0,2.0,52.7,27.6,2.0,1215.09,4077.0,Q2,0
00b59e54-26f7-467a-95c8-f5ac4af8baa9,31.0,Male,France,Toulouse,0.9,9.0,28.2,11.6,69.4,4.0,10.0,94.05,146.0,24.2,4.4,4.9,8.0,2.0,8.4,14.7,1.0,836.44,760.0,Q1,1
00bd4cf8-2552-4a08-8af6-c04058a95437,48.0,Male,India,Chennai,2.6,2.0,17.9,3.2,65.6,0.0,7.0,154.74,59.0,12.4,13.9,31.7,15.0,2.0,0.0,17.9,2.0,1191.4,0.0,Q2,1
00bdef3a-4b31-4993-b00d-56b3efa43da3,58.0,Male,India,Hyderabad,5.4,3.0,21.6,4.4,55.5,3.0,15.0,79.31,17.0,27.4,5.4,8.8,1.0,2.0,39.9,12.6,3.0,994.19,2225.0,Q1,0
00bf023b-abfc-4e87-999d-7ad31c3fd7fa,58.0,Female,Canada,Calgary,1.4,13.0,34.3,6.6,36.5,3.0,10.0,115.22,5.0,31.5,3.1,15.9,7.0,3.0,19.7,24.8,1.0,1224.02,2462.0,Q2,0
00c99049-7a5c-4217-ab6d-efaac1b38819,33.0,Female,UK,Glasgow,3.0,14.0,20.3,7.1,75.0,0.0,3.0,112.83,101.0,38.5,15.8,2.1,6.0,1.0,0.0,9.0,4.0,318.37,802.0,Q1,1
00d16130-01d4-4b95-a264-a8ca84cf2e87,43.0,Male,USA,Phoenix,2.2,2.0,24.2,9.7,72.0,4.0,13.0,92.54,14.0,25.7,15.4,23.2,4.0,6.0,8.6,27.1,3.0,1404.32,2334.0,Q2,0
00db4079-eaca-49dc-b414-de1a7530e02d,29.0,Female,USA,New York,5.0,18.0,33.8,11.0,59.1,5.0,16.900000000000002,125.19,37.0,34.8,10.4,29.0,7.0,2.0,29.8,16.0,3.0,1779.87,1975.0,Q4,0
00e6079f-cd54-400c-9a74-31e71a332b3c,18.0,Female,Canada,Calgary,1.7,11.0,16.4,7.6,57.2,1.0,9.0,72.23,50.0,60.6,8.4,38.6,10.0,1.0,34.8,19.1,3.0,705.54,0.0,Q1,1
00f567e1-77e0-4459-87d8-b7cfc2459669,34.0,Male,USA,New York,5.1,4.0,19.0,4.9,76.7,2.0,13.0,159.32,89.0,40.2,5.0,16.1,3.0,2.0,14.3,17.4,2.0,2038.49,1896.0,Q2,1
00fdd282-bc40-42f6-9ab6-ca940b27fe59,26.0,Male,Canada,Toronto,5.3,28.0,47.1,13.9,33.7,7.0,18.0,102.76,37.0,58.2,13.7,47.1,5.0,4.0,74.0,44.0,2.0,2061.87,4063.0,Q2,0
012ba863-ff90-4477-b554-f613c5ab20ce,27.0,Male,Germany,Berlin,4.8,14.0,27.5,10.6,47.2,5.0,11.0,127.46,133.0,33.1,4.4,4.8,4.0,1.0,57.6,24.5,3.0,1214.04,1896.0,Q3,0
01335b68-9e05-48a3-8d7b-a1022f3d17e1,44.0,Female,USA,Houston,2.0,12.0,32.2,10.7,26.5,7.0,15.0,96.29,7.0,35.2,12.9,37.1,2.0,5.0,27.6,18.7,3.0,1727.52,1896.0,Q3,1
0133d7da-d018-4ba3-9345-ced7af1c325d,46.0,Female,Canada,Toronto,1.8,22.0,31.6,10.6,38.5,3.0,18.0,125.3,67.0,56.9,7.1,24.2,6.0,8.0,38.1,41.2,2.0,2211.41,1896.0,Q3,1
0145bc87-8a04-4cfe-8ae0-74f603c9086b,21.0,Female,Japan,Osaka,2.3,0.0,24.1,6.0,50.6,3.0,10.0,52.32,18.0,83.6,4.3,25.3,6.0,3.0,34.0,11.7,2.0,572.71,70.0,Q2,0
0147084e-0203-45cc-b924-9838865fd967,32.0,Male,India,Mumbai,2.8,9.0,25.5,8.2,56.6,2.0,9.0,158.78,46.0,40.2,9.0,19.7,6.0,3.0,27.6,12.6,2.0,1509.28,1896.0,Q1,0
01590140-6b57-4e8f-b2ed-6998aad31ca6,54.0,Male,France,Lyon,1.7,12.0,21.9,6.4,65.3,3.0,7.0,122.6,30.0,73.8,10.7,17.8,5.0,0.0,3.9,7.0,3.0,934.5,339.0,Q2,0
01652ba4-066b-4b5f-8f32-36be0ee6f72c,56.0,Male,USA,Los Angeles,2.5,17.0,31.6,11.7,57.6,3.0,16.0,77.72,70.0,18.1,6.7,32.2,4.0,3.0,32.0,23.4,2.0,1486.38,1818.0,Q2,0
017c2445-eb1c-473a-a195-1f78e15172cc,48.0,Male,USA,New York,6.1,13.0,33.8,8.4,49.5,4.0,12.0,125.17,17.0,56.6,10.9,2.3,6.0,3.0,17.2,22.8,1.0,1452.29,2001.0,Q3,0
017cb749-df57-4872-a9d7-0aee998a6b9f,49.0,Female,USA,Los Angeles,2.9,15.0,20.1,7.1,66.5,4.0,12.0,78.4,28.0,40.2,14.9,20.2,1.0,3.0,44.6,16.4,1.0,1126.7,3334.0,Q2,1
018dde0a-7c9c-4740-bc13-4b1170d2370f,19.0,Female,USA,Phoenix,8.8,15.0,30.1,8.4,62.5,5.0,11.0,130.42,43.0,38.6,20.2,28.1,5.0,4.0,52.2,26.1,4.0,1665.08,1340.0,Q3,0
018eeb19-d62c-49bc-b9fb-0fa8ea6c593e,18.0,Female,Canada,Calgary,3.2,26.0,48.5,11.1,32.9,10.0,18.0,63.49,18.0,14.2,3.1,42.0,3.0,5.0,27.6,27.7,4.0,915.99,1896.0,Q3,1
01a577eb-1918-4feb-a979-94a38cf5e2c8,18.0,Female,UK,Leeds,4.5,30.0,43.5,8.4,7.6,12.0,22.0,165.29,5.0,50.7,13.1,69.1,4.0,7.0,68.5,31.5,1.0,4023.13,3515.0,Q1,0
01a6b647-f180-455e-92b9-3b64f7b9b009,54.0,Male,India,Delhi,2.5,19.0,30.0,7.6,59.5,4.0,9.0,165.57,15.0,7.4,5.4,13.4,3.0,4.0,36.0,25.4,2.0,1250.15,838.0,Q2,0
01a9281f-998e-4bda-b3bd-738738d0181c,48.0,Female,USA,Chicago,2.9,5.0,25.8,11.3,69.6,3.0,5.0,120.85,24.0,38.3,5.4,12.8,7.0,0.0,36.7,11.0,2.0,591.25,2815.0,Q3,0
01b0ddc4-ffc4-4868-a090-5414d368ed61,46.0,Female,USA,Phoenix,4.4,19.0,21.0,5.4,75.7,1.0,4.0,138.67,18.0,35.8,0.9,1.1,7.0,2.0,6.4,15.5,1.0,590.48,3064.0,Q1,0
01b29f01-3652-4438-86ab-67ae87415f54,34.0,Male,Canada,Ottawa,2.0,9.0,9.7,4.4,73.0,0.0,6.0,88.77,21.0,18.3,1.1,7.3,6.0,2.0,0.0,7.1,1.0,597.57,1896.0,Q2,1
01b4e442-15e4-4fe6-a559-1a4003eac2d2,47.0,Female,USA,New York,0.7,9.0,41.3,8.9,50.6,6.0,14.3,217.86,32.0,54.0,6.1,31.0,8.0,3.0,4.6,24.9,2.0,2180.39,3179.0,Q4,1
01d14d08-a27b-4eed-9476-1493b3a53d85,21.0,Female,USA,Houston,1.2,5.0,14.9,5.5,88.5,0.0,3.0,160.24,24.0,68.7,6.0,0.0,3.0,1.0,39.6,17.3,2.0,497.89,866.0,Q3,1
01e6da6b-52e1-446b-8860-1c9fe78f3d57,56.0,Male,USA,Chicago,4.3,21.0,36.6,8.8,64.4,11.0,12.0,128.7,3.0,10.2,3.4,36.3,2.0,5.0,23.9,27.3,2.0,1359.78,1896.0,Q2,0
01f63642-c925-49ff-91de-bf72434ce193,38.0,Male,UK,Manchester,4.4,17.0,33.6,12.3,61.8,4.0,14.0,86.86,16.0,42.2,15.8,17.2,5.0,4.0,27.6,16.7,3.0,1271.97,295.0,Q2,1
